iter	MultiClass
0	1.058736685
1	1.015253792
2	0.9793257954
3	0.9481745608
4	0.9218453962
5	0.8976762622
6	0.8809466054
7	0.8602089328
8	0.8446502994
9	0.8405085701
10	0.818183891
11	0.7993646045
12	0.7855460105
13	0.7722163681
14	0.7582183037
15	0.746575708
16	0.7340047157
17	0.7207281799
18	0.7075961324
19	0.6969964626
20	0.6864562646
21	0.6776332172
22	0.6703954965
23	0.6616600247
24	0.651752974
25	0.6413551178
26	0.6330494314
27	0.6255762936
28	0.6178728863
29	0.6087637279
30	0.6025824856
31	0.595354909
32	0.5882507243
33	0.5823196092
34	0.5745141004
35	0.5678001168
36	0.5648513693
37	0.5582788861
38	0.5527103859
39	0.5478957448
40	0.5423310077
41	0.5361946387
42	0.5321993214
43	0.5264126781
44	0.5201524408
45	0.5154184963
46	0.5092611994
47	0.5050929129
48	0.5000211356
49	0.4955248017
50	0.4910728246
51	0.4877432953
52	0.4838658606
53	0.4800800252
54	0.4761757216
55	0.4725614964
56	0.4682305527
57	0.465033656
58	0.4607090498
59	0.457155679
60	0.452945107
61	0.4496445512
62	0.4452024506
63	0.4424892505
64	0.4375317724
65	0.4337163104
66	0.4303540297
67	0.4269892511
68	0.424860257
69	0.4218734978
70	0.4194548772
71	0.4163261986
72	0.4128087348
73	0.4107966018
74	0.4075727801
75	0.404241634
76	0.4005687017
77	0.3991999714
78	0.3974041939
79	0.3944153312
80	0.3918729624
81	0.388657986
82	0.386086912
83	0.3832628321
84	0.3806346073
85	0.3788398367
86	0.3767307665
87	0.374712452
88	0.3718576184
89	0.3689298643
90	0.3657870987
91	0.3649084074
92	0.3626606704
93	0.3587052977
94	0.3564476129
95	0.3545048548
96	0.3522106478
97	0.3501466921
98	0.3484020855
99	0.345955902
100	0.3440025101
101	0.3419237005
102	0.3401521148
103	0.338836177
104	0.3370541
105	0.3351608248
106	0.3335810177
107	0.3320001422
108	0.3307023096
109	0.3294483075
110	0.327771298
111	0.3257785336
112	0.3249642843
113	0.3232457806
114	0.3211632636
115	0.3201084508
116	0.3187724456
117	0.3171847061
118	0.3145647576
119	0.3129972435
120	0.3119346013
121	0.3110350524
122	0.3093414243
123	0.3073241514
124	0.3058744462
125	0.3045404832
126	0.3036246039
127	0.3022477384
128	0.3009358124
129	0.2991078675
130	0.2978607318
131	0.2961727577
132	0.2945711496
133	0.2935650616
134	0.2922641993
135	0.2906483634
136	0.2897684298
137	0.2887277698
138	0.2875484869
139	0.2861882726
140	0.2847000258
141	0.2835909554
142	0.2813630058
143	0.2804206608
144	0.2778239789
145	0.2768206008
146	0.2754960678
147	0.2741442899
148	0.2727879531
149	0.2718628901
150	0.2707808783
151	0.2696858799
152	0.2684555848
153	0.2672790692
154	0.2663772773
155	0.264921607
156	0.2639074778
157	0.2623962651
158	0.2611604308
159	0.2598079316
160	0.2582187323
161	0.2570159135
162	0.255866175
163	0.255122168
164	0.2541703896
165	0.2526277753
166	0.2519681033
167	0.2514224417
168	0.2502850322
169	0.2494242069
170	0.2485845029
171	0.2474793629
172	0.2468280532
173	0.245748587
174	0.2452599991
175	0.2445031181
176	0.243975902
177	0.2432424216
178	0.2422047833
179	0.2413211045
180	0.2398110357
181	0.2387446308
182	0.237190375
183	0.2361773837
184	0.2357139902
185	0.2346998787
186	0.2333257991
187	0.2321034873
188	0.231197752
189	0.230420427
190	0.2295624914
191	0.2289786524
192	0.2281780991
193	0.2269204484
194	0.2259502902
195	0.2246876673
196	0.2241187956
197	0.2232115786
198	0.2223771545
199	0.2213407002
200	0.2207137577
201	0.2196886302
202	0.2186742113
203	0.2180719011
204	0.2173998035
205	0.2169357662
206	0.2163443308
207	0.2157758196
208	0.2149388996
209	0.2144542195
210	0.2138590535
211	0.2130542564
212	0.2123900132
213	0.2117724368
214	0.2111542796
215	0.2106756737
216	0.2099015807
217	0.2092914101
218	0.2083506875
219	0.2077663138
220	0.2073016761
221	0.2068573202
222	0.2060691755
223	0.2052531113
224	0.2047940547
225	0.2041205862
226	0.2034476795
227	0.202413033
228	0.201302935
229	0.200605675
230	0.2000782374
231	0.1995628604
232	0.1989893278
233	0.1984554929
234	0.1981061425
235	0.1978168081
236	0.1971160155
237	0.1966969154
238	0.1961818023
239	0.1958454444
240	0.1952850296
241	0.194840002
242	0.1942383474
243	0.1932947714
244	0.192815415
245	0.1924632896
246	0.1920724384
247	0.1915087875
248	0.1908940339
249	0.190471261
250	0.1899748036
251	0.1893548729
252	0.1888747383
253	0.1879956572
254	0.1877402175
255	0.1870609241
256	0.1863206826
257	0.1855943205
258	0.1852157473
259	0.1846456459
260	0.1840585413
261	0.1835665923
262	0.1829951314
263	0.182527198
264	0.1820094256
265	0.18156731
266	0.1808803839
267	0.1807216354
268	0.1801936108
269	0.1798966842
270	0.1794880539
271	0.1790503863
272	0.178617996
273	0.1780577143
274	0.1774227737
275	0.176609264
276	0.1760640405
277	0.1754876777
278	0.1748423923
279	0.1744080014
280	0.1740118229
281	0.1736979653
282	0.1732310437
283	0.1728920413
284	0.1726708881
285	0.1723881133
286	0.1716590333
287	0.1713439116
288	0.1708327615
289	0.1703922195
290	0.1701377341
291	0.169934803
292	0.169516162
293	0.1687213657
294	0.1683611277
295	0.1681157718
296	0.1675042375
297	0.1673228206
298	0.1669921608
299	0.166625038
300	0.1663524523
301	0.1659571413
302	0.1657703426
303	0.1653183766
304	0.165050323
305	0.1646495775
306	0.1644718575
307	0.1641051142
308	0.1638315737
309	0.1633811842
310	0.162870993
311	0.1624615917
312	0.1620977447
313	0.1617073123
314	0.1614482681
315	0.161018662
316	0.1606984244
317	0.1602803052
318	0.1597685318
319	0.1593556006
320	0.1586506924
321	0.1582470438
322	0.1576724164
323	0.1574195479
324	0.1570550578
325	0.1564922156
326	0.1561874308
327	0.1556335586
328	0.155010092
329	0.1545262481
330	0.1540683632
331	0.1538325697
332	0.1534502199
333	0.1531336911
334	0.1527136144
335	0.1526016684
336	0.1524226011
337	0.1522252923
338	0.1516290263
