iter	Passed	Remaining
0	3	1793
1	6	1699
2	10	1660
3	13	1654
4	16	1667
5	20	1678
6	23	1677
7	26	1660
8	29	1611
9	31	1538
10	35	1573
11	38	1551
12	41	1557
13	45	1562
14	48	1565
15	51	1552
16	54	1537
17	57	1527
18	60	1519
19	62	1508
20	65	1500
21	68	1489
22	71	1480
23	74	1471
24	77	1463
25	81	1479
26	83	1468
27	86	1461
28	89	1455
29	92	1454
30	95	1447
31	98	1439
32	101	1432
33	104	1425
34	107	1422
35	109	1415
36	112	1407
37	115	1401
38	118	1394
39	120	1389
40	123	1385
41	126	1380
42	129	1374
43	132	1370
44	135	1366
45	137	1360
46	140	1356
47	143	1351
48	146	1348
49	149	1343
50	152	1338
51	155	1342
52	159	1343
53	162	1340
54	165	1336
55	167	1331
56	170	1327
57	173	1324
58	176	1321
59	179	1318
60	182	1316
61	186	1316
62	189	1313
63	192	1309
64	195	1306
65	198	1302
66	200	1297
67	203	1294
68	206	1290
69	209	1285
70	211	1280
71	214	1277
72	217	1272
73	220	1270
74	223	1266
75	226	1262
76	229	1259
77	231	1255
78	234	1250
79	237	1245
80	240	1243
81	243	1242
82	247	1241
83	250	1239
84	253	1238
85	257	1237
86	260	1236
87	263	1234
88	267	1233
89	270	1232
90	274	1231
91	277	1229
92	280	1228
93	284	1227
94	287	1225
95	290	1223
96	294	1221
97	297	1218
98	299	1215
99	302	1211
100	306	1209
101	309	1206
102	312	1203
103	315	1201
104	319	1203
105	323	1202
106	327	1201
107	330	1199
108	333	1197
109	337	1196
110	340	1192
111	343	1189
112	347	1190
113	351	1191
114	355	1190
115	360	1192
116	364	1192
117	367	1189
118	370	1186
119	374	1185
120	377	1181
121	380	1178
122	383	1174
123	386	1170
124	389	1167
125	392	1163
126	394	1159
127	397	1155
128	400	1152
129	403	1148
130	406	1144
131	408	1139
132	411	1135
133	414	1132
134	417	1128
135	420	1124
136	422	1120
137	425	1115
138	428	1111
139	430	1107
140	433	1103
141	436	1099
142	439	1096
143	441	1092
144	444	1088
145	447	1084
146	449	1080
147	452	1077
148	455	1073
149	458	1069
150	461	1066
151	463	1062
152	466	1058
153	469	1054
154	471	1050
155	474	1046
156	477	1042
157	481	1041
158	484	1038
159	487	1035
160	490	1033
161	493	1030
162	496	1026
163	499	1023
164	502	1020
165	505	1017
166	508	1014
167	512	1012
168	515	1009
169	518	1007
170	521	1004
